label,gross,period,num_dependants,expected_adjustment,source
"MLA2 $911/weekly/1ch",911,weekly,1,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $911/weekly/2ch",911,weekly,2,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $911/weekly/3ch",911,weekly,3,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $911/weekly/4ch",911,weekly,4,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $911/weekly/5ch",911,weekly,5,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $944/weekly/spouse",944,weekly,0,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $944/weekly/1ch",944,weekly,1,19,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $944/weekly/2ch",944,weekly,2,19,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $944/weekly/3ch",944,weekly,3,19,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $944/weekly/4ch",944,weekly,4,19,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $944/weekly/5ch",944,weekly,5,19,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $945/weekly/spouse",945,weekly,0,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $945/weekly/1ch",945,weekly,1,19,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $945/weekly/2ch",945,weekly,2,19,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $945/weekly/3ch",945,weekly,3,19,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $945/weekly/4ch",945,weekly,4,19,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $945/weekly/5ch",945,weekly,5,19,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $978/weekly/spouse",978,weekly,0,13,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $978/weekly/1ch",978,weekly,1,20,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $978/weekly/2ch",978,weekly,2,20,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $978/weekly/3ch",978,weekly,3,20,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $978/weekly/4ch",978,weekly,4,20,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $978/weekly/5ch",978,weekly,5,20,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $979/weekly/spouse",979,weekly,0,12,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $979/weekly/1ch",979,weekly,1,20,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $979/weekly/2ch",979,weekly,2,20,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $979/weekly/3ch",979,weekly,3,20,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $979/weekly/4ch",979,weekly,4,20,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $979/weekly/5ch",979,weekly,5,20,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1012/weekly/spouse",1012,weekly,0,10,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1012/weekly/1ch",1012,weekly,1,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1012/weekly/2ch",1012,weekly,2,20,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1012/weekly/3ch",1012,weekly,3,20,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1012/weekly/4ch",1012,weekly,4,20,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1012/weekly/5ch",1012,weekly,5,20,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1013/weekly/spouse",1013,weekly,0,10,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1013/weekly/1ch",1013,weekly,1,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1013/weekly/2ch",1013,weekly,2,20,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1013/weekly/3ch",1013,weekly,3,20,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1013/weekly/4ch",1013,weekly,4,20,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1013/weekly/5ch",1013,weekly,5,20,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1046/weekly/spouse",1046,weekly,0,7,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1046/weekly/1ch",1046,weekly,1,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1046/weekly/2ch",1046,weekly,2,21,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1046/weekly/3ch",1046,weekly,3,21,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1046/weekly/4ch",1046,weekly,4,21,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1046/weekly/5ch",1046,weekly,5,21,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1047/weekly/spouse",1047,weekly,0,7,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1047/weekly/1ch",1047,weekly,1,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1047/weekly/2ch",1047,weekly,2,21,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1047/weekly/3ch",1047,weekly,3,21,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1047/weekly/4ch",1047,weekly,4,21,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1047/weekly/5ch",1047,weekly,5,21,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1080/weekly/spouse",1080,weekly,0,4,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1080/weekly/1ch",1080,weekly,1,13,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1080/weekly/2ch",1080,weekly,2,21,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1080/weekly/3ch",1080,weekly,3,22,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1080/weekly/4ch",1080,weekly,4,22,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1080/weekly/5ch",1080,weekly,5,22,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1081/weekly/spouse",1081,weekly,0,4,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1081/weekly/1ch",1081,weekly,1,13,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1081/weekly/2ch",1081,weekly,2,21,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1081/weekly/3ch",1081,weekly,3,22,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1081/weekly/4ch",1081,weekly,4,22,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1081/weekly/5ch",1081,weekly,5,22,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1114/weekly/spouse",1114,weekly,0,2,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1114/weekly/1ch",1114,weekly,1,10,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1114/weekly/2ch",1114,weekly,2,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1114/weekly/3ch",1114,weekly,3,22,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1114/weekly/4ch",1114,weekly,4,22,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1114/weekly/5ch",1114,weekly,5,22,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1115/weekly/spouse",1115,weekly,0,2,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1115/weekly/1ch",1115,weekly,1,10,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1115/weekly/2ch",1115,weekly,2,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1115/weekly/3ch",1115,weekly,3,22,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1115/weekly/4ch",1115,weekly,4,22,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1115/weekly/5ch",1115,weekly,5,22,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1148/weekly/spouse",1148,weekly,0,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1148/weekly/1ch",1148,weekly,1,7,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1148/weekly/2ch",1148,weekly,2,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1148/weekly/3ch",1148,weekly,3,23,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1148/weekly/4ch",1148,weekly,4,23,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1148/weekly/5ch",1148,weekly,5,23,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1149/weekly/spouse",1149,weekly,0,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1149/weekly/1ch",1149,weekly,1,7,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1149/weekly/2ch",1149,weekly,2,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1149/weekly/3ch",1149,weekly,3,23,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1149/weekly/4ch",1149,weekly,4,23,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1149/weekly/5ch",1149,weekly,5,23,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1182/weekly/spouse",1182,weekly,0,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1182/weekly/1ch",1182,weekly,1,5,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1182/weekly/2ch",1182,weekly,2,13,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1182/weekly/3ch",1182,weekly,3,21,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1182/weekly/4ch",1182,weekly,4,24,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1182/weekly/5ch",1182,weekly,5,24,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1183/weekly/spouse",1183,weekly,0,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1183/weekly/1ch",1183,weekly,1,4,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1183/weekly/2ch",1183,weekly,2,13,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1183/weekly/3ch",1183,weekly,3,21,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1183/weekly/4ch",1183,weekly,4,24,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1183/weekly/5ch",1183,weekly,5,24,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1216/weekly/spouse",1216,weekly,0,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1216/weekly/1ch",1216,weekly,1,2,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1216/weekly/2ch",1216,weekly,2,10,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1216/weekly/3ch",1216,weekly,3,19,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1216/weekly/4ch",1216,weekly,4,24,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1216/weekly/5ch",1216,weekly,5,24,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1217/weekly/spouse",1217,weekly,0,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1217/weekly/1ch",1217,weekly,1,2,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1217/weekly/2ch",1217,weekly,2,10,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1217/weekly/3ch",1217,weekly,3,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1217/weekly/4ch",1217,weekly,4,24,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1217/weekly/5ch",1217,weekly,5,24,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1250/weekly/spouse",1250,weekly,0,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1250/weekly/1ch",1250,weekly,1,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1250/weekly/2ch",1250,weekly,2,7,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1250/weekly/3ch",1250,weekly,3,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1250/weekly/4ch",1250,weekly,4,24,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1250/weekly/5ch",1250,weekly,5,25,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1251/weekly/spouse",1251,weekly,0,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1251/weekly/1ch",1251,weekly,1,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1251/weekly/2ch",1251,weekly,2,7,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1251/weekly/3ch",1251,weekly,3,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1251/weekly/4ch",1251,weekly,4,24,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1251/weekly/5ch",1251,weekly,5,25,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1284/weekly/spouse",1284,weekly,0,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1284/weekly/1ch",1284,weekly,1,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1284/weekly/2ch",1284,weekly,2,5,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1284/weekly/3ch",1284,weekly,3,13,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1284/weekly/4ch",1284,weekly,4,21,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1284/weekly/5ch",1284,weekly,5,26,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1285/weekly/spouse",1285,weekly,0,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1285/weekly/1ch",1285,weekly,1,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1285/weekly/2ch",1285,weekly,2,5,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1285/weekly/3ch",1285,weekly,3,13,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1285/weekly/4ch",1285,weekly,4,21,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1285/weekly/5ch",1285,weekly,5,26,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1318/weekly/spouse",1318,weekly,0,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1318/weekly/1ch",1318,weekly,1,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1318/weekly/2ch",1318,weekly,2,2,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1318/weekly/3ch",1318,weekly,3,10,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1318/weekly/4ch",1318,weekly,4,19,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1318/weekly/5ch",1318,weekly,5,26,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1319/weekly/spouse",1319,weekly,0,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1319/weekly/1ch",1319,weekly,1,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1319/weekly/2ch",1319,weekly,2,2,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1319/weekly/3ch",1319,weekly,3,10,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1319/weekly/4ch",1319,weekly,4,19,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1319/weekly/5ch",1319,weekly,5,26,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1551/weekly/spouse",1551,weekly,0,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1551/weekly/1ch",1551,weekly,1,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1551/weekly/2ch",1551,weekly,2,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1551/weekly/3ch",1551,weekly,3,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1551/weekly/4ch",1551,weekly,4,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1551/weekly/5ch",1551,weekly,5,8,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1552/weekly/spouse",1552,weekly,0,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1552/weekly/1ch",1552,weekly,1,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $1552/weekly/2ch",1552,weekly,2,0,"ATO MLA Scale 2 2026-27 sample data"
